InvoiceNo,ItemNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,ProjectCode
SO2002103,I100001905,WATER GLASS BINDER      HMG05-TH,1140,13/02/2020,135,CUSS006,SA200052
SO2003159,I2S0170002,SIDE PLATE(WHEEL ASS'Y)        X-30 264,1,17/03/2020,81340,CUSS006,
SO2003161,I2C0060004,CONTROL CAGE              WA 1661,1,17/03/2020,2058,CUSS006,PB200394
SO2003162,I2B0020005,CENTERING BOLT          M16X35(9*B04C16X035H)(12.9,1,17/03/2020,157,CUSS006,PB200394
SO2004116,I2H0040001,HUB   WA 2961,1,20/04/2020,17255,CUSS018,PB200525
SO2004116,I2S0170001,SIDE PLATE   X-30 244,1,20/04/2020,76500,CUSS018,PB200525
SO1810277,I2L0010056,END LINER   WA 2591,6,01/05/2020,7125,CUSS018,PB200273
SO1912214,I2P0060036,PIPE FITTING            AB A0717,2,01/05/2020,7400,CUSM006,PB192047
SO2001136,I2E0050159,DRIVE ASS'Y  E-OC A003DR1,1,01/05/2020,326600,CUSK013,PA200078
SO2002003,I200004279,DUCT   425007080508,1,01/05/2020,23000,CUSA005,PB200130
SO2002003,I200002224,DUCT   425005012523,3,01/05/2020,5200,CUSA005,PB200130
SO2002003,I200003223,DUCT   425007080812,1,01/05/2020,20400,CUSA005,PB200130
SO2002003,I200004276,DUCT   3B6600G3525-2,1,01/05/2020,8500,CUSA005,PB200130
SO2002003,I200004278,DUCT   3B6600G3525-7,1,01/05/2020,9550,CUSA005,PB200130
SO2002003,I200004277,DUCT   3B6600G3525-1,1,01/05/2020,7800,CUSA005,PB200130
SO2002003,I200004280,DUCT   3B6640G2071,1,01/05/2020,52300,CUSA005,PB200130
SO2002003,I2D0060005,DAMPER ASS'Y  ZS 046,2,01/05/2020,22500,CUSA005,PB200130
SO2002003,I2B0020244,HEX.BOLT  9*B02A10X025(M10X25),90,01/05/2020,30,CUSA005,PB200130
SO2002003,I2N0020017,HEX.NUT   9*N02A10(M10),90,01/05/2020,15,CUSA005,PB200130
SO2002003,I2W0010028,SPRING LOCK WASHER  9*W04R10(M10),90,01/05/2020,15,CUSA005,PB200130
SO2002061,I2S0200028,SCREEN    VSS T0024,1,01/05/2020,25500,CUSO001,PB200168
SO2002085,I2F0010025,FILTER BAG   U-6X35TF-60-PH-S-E1,72,01/05/2020,2200,CUSN007,PC200185
SO2002152,I2R0040008,RUBBER ROLLER   A4 15600B,1,01/05/2020,19800,CUSNO36,PB200223
SO2004015,I100001831,STAINLESS CUT WIRE   SUS201(0.3MM),75,01/05/2020,225,CUSS032,SS200127
SO2004015,I100002867,STAINLESS STEEL CUT WIRE  SUS201 CCW(0.6MM),100,01/05/2020,225,CUSS032,SS200127
SO2004020,I1C0160001,CALCIUM CARBONATE (25 KGS/PACK),100,01/05/2020,18,CUSS108,PC200474
SO2004069,I2A0010001,ALUMINUM BALL   K1-B4 (20KGS/PACK),140,01/05/2020,375,CUSN003,SS200135
SO2004103,I1C0160001,CALCIUM CARBONATE,500,01/05/2020,18,CUST007,PC200517
SO2004165,I1C0160001,CALCIUM CARBONATE (25KGS/BAG),750,01/05/2020,18,CUSH010,PC200559
SO2002286,I2S0030294,DUST SEAL            9K89A001530(DWI-40),2,05/05/2020,160,CUSS025,PA200300
SO2002286,I2S0030014,DUST SEAL            9*S72V130(DKI130X146X9X12),2,05/05/2020,800,CUSS025,PA200300
SO2004110,I2S0090001,STOPPER      3A4520A0002,1,05/05/2020,3500,CUSS025,PB200522
SO2004110,I2B0020005,CENTERING BOLT      M16X35(9*B04C16X035H)(12.9),1,05/05/2020,160,CUSS025,PB200522
SO2004110,I2H0020001,HELISERT    9*W34G16X024L(LM16-2X1.5DNS)(M16X24),1,05/05/2020,300,CUSS025,PB200522
SO1910282,I2V0010061,DIAPHRAGM KIT            DXT465-81-3A-X69,6,06/05/2020,950,CUSM006,PC191757
SO2002214,I2S0030605,OIL SEAL         TB450X500X25,2,06/05/2020,14200,CUSS025,PA200259
SO2002214,I2S0030606,OIL SEAL         SB440X490X25,2,06/05/2020,10000,CUSS025,PA200259
SO1911240,I2C0080178,CJT210-TC80A1170B-BDAA-EKL-H-VU(CB3-43068),1,07/05/2020,162450,CUSK013,PA191925
SO2001072,I2C0070006,FRONT COVER                     3A6170A0016,1,07/05/2020,13300,CUSN012,PB200041
SO2002012,I2P0030045,PACKING               AB-B C3145,1,07/05/2020,9300,CUSS015,PB200157
SO2002012,I2V0010027,VALVE                    AB-B C3144,1,07/05/2020,13000,CUSS015,PB200157
SO2002081,I2S0030106,DUST SEAL  DWIR-45(DWIR45-57-7-10),8,07/05/2020,285,CUSK013,PA200182
SO2002081,I2P0030005,PACKING  9*S74V045(USH-45-55-6),8,07/05/2020,114,CUSK013,PA200182
SO2002081,I2R0060006,BACK UP RING 9*S74V045B(BRT2-45-55-3),8,07/05/2020,333,CUSK013,PA200182
SO2002081,I2O0010049,O-RING  9*S62V055B(G55 1B),8,07/05/2020,48,CUSK013,PA200182
SO2002082,I2S0100055,ECCENTRIC SHAFT       OC A0061G,2,07/05/2020,36195,CUSK013,PA200182
SO2002083,I2S0020004,SCREW  MIE 0073,1,07/05/2020,10450,CUST024,PA200183
SO2002088,I200003741,SEAL KIT ( NOT INCLUDED WEARING ),8,07/05/2020,16150,CUSI003,PA200190
SO2002106,I2L0010487,LINER           25 014,3,07/05/2020,4465,CUSI003,PB200195
SO2002138,I2L0010421,LINER             55 032,1,07/05/2020,9025,CUSI003,PB200220
SO2002138,I200000428,LINER             55 036A,1,07/05/2020,14250,CUSI003,PB200220
SO2002140,I2N0010064,NOZZLE             AB-B A1666,2,07/05/2020,900,CUSS015,PB200216
SO2002142,I2H0030053,WEAR HEAT RESISTANT HOSE           AB-H-075-2,1,07/05/2020,5000,CUSS015,PB200216
SO2002149,I2G0080034,GUIDE          3B6340F0038,2,07/05/2020,26000,CUSI001,PB200236
SO2002165,I2B0080007,NYLON BRUSH      3B2460G2002,2,07/05/2020,10500,CUST133,PB200231
SO2002165,I2G0080026,GUIDE                3B2720B2054,1,07/05/2020,12000,CUST133,PB200231
SO2002208,I2S0070011,SPRING             WA2 010,64,07/05/2020,1170,CUSM050,PB200257
SO2002237,I2L0010505,LINER           3B7530D2040,1,07/05/2020,97200,CUSM001,PB200272
SO2002245,I2B0060001,BLADE             A2-8338,4,07/05/2020,8360,CUSS009,PB200281
SO2002263,I200001590,THE VARIABLE RESISTANCE  WA2W 20S 501/R0,1,07/05/2020,2565,CUSA004,PA200288
SO2003013,I2L0010396,LINER               3B7530D0016,1,07/05/2020,85000,CUSM001,PB200312
SO2003020,I200000719,NYLON VENT   9K85A000380 (DIA.30X8H),100,07/05/2020,50,CUST054,PA200318
SO2003030,I2C0220004,COMPOUND    CAL-M (17 KGS/CAN),136,07/05/2020,230,CUSS052,SS200081
SO2003083,I2P0040007,PULLEY                      WA 2955(i),1,07/05/2020,7900,CUSY009,PB200376
SO2003083,I2P0040034,V PULLEY                   WA 2957(he),1,07/05/2020,15000,CUSY009,PB200376
SO2003099,I2L0010011,SIDE LINER         3A7520A0037A,2,07/05/2020,21000,CUSN012,PB200362
SO2003114,I2C0010012,CARTRIDGE ELEMENT                   FX-6PB/1501,3,07/05/2020,4100,CUSA013,PC200369
SO2003171,I2F0010050,FILTER BAG   H-5X12TL-33-PH-E1(ANTISTATIC),30,07/05/2020,650,CUST018,PC200398
SO2003245,I2M0020045,CERAMIC MEDIA             V3-T5X5,40,07/05/2020,345,CUSJ011,SS200117
SO2004059,I2B0060002,BLADE                        WA 0074,2,07/05/2020,4320,CUSK001,PB200493
SO2004059,I2D0020002,DISTRIBUTOR             WA 0018,3,07/05/2020,675,CUSK001,PB200493
SO2004059,I2C0060002,CONTROL CAGE       WA 0019,2,07/05/2020,2250,CUSK001,PB200493
SO2004059,I2S0070004,STOP SPRING             WA 0015,2,07/05/2020,5760,CUSK001,PB200493
SO2004059,I2N0020009,CAP NUT                    WA 0024,3,07/05/2020,315,CUSK001,PB200493
SO2004102,I100002795,POWER VALVE            VPA3145-06,3,07/05/2020,3690,CUSU007,PA200516
SO2004102,I1S0130001,SILENCER                    AN500-06,3,07/05/2020,495,CUSU007,PA200516
SO2004156,I2B0060012,BLADE             WA 0149,2,07/05/2020,4680,CUSU007,PB200556
SO2004167,I1S0110013,STEEL SHOT  S-330(SB-10),300,07/05/2020,32,CUSS152,SS200149
SO2004167,I1G0050014,STEEL GRIT  G-80(GH),50,07/05/2020,32,CUSS152,SS200149
SO2005022,I2B0060005,BLADE          WA 2075,3,07/05/2020,4800,CUSI001,PB200592
SO2005026,I1S0110016,ADVANCE SHOT  AD-4,800,07/05/2020,250,CUSY003,SZ200153
SO2003119,I2D0010001,DIAPHRAGM RUBBER PACKING   WWDO-3CCR,4,08/05/2020,6700,CUST054,
SO2003119,I2S0030008,SEAL(HICA)    KHS-G5037 04000,1,08/05/2020,10300,CUST054,PA200373
SO2004023,I2S0030008,SEAL(HICA)         KHS-G5037 04000,1,08/05/2020,10300,CUST054,PA200475
SO2005033,I1C0160001,CALCIUM   CARBONATE   (25KGS/BAG),175,08/05/2020,15,CUSA006,PC200598
SO2005034,I1S0110005,STEEL SHOT             SAE-S70(SB-2),300,08/05/2020,48,CUSA006,SS200154
SO2005034,I1G0050001,STEEL  GRIT             G-120 (GH-1),150,08/05/2020,45,CUSA006,SS200154
SO2001106,I2B0090008,UP/DOWN SQUARE BELLOWS     SK-K11303130,2,09/05/2020,51300,CUST055,PA200064
SO2001143,I200000931,SCB60B H007 - ROLLER ASSEMBLY PRODUCT,2,09/05/2020,39200,CUSS006,PB200081
SO2002006,I2P0020128,LYTE-T2 0049 - PUNCHING METAL,2,09/05/2020,24500,CUSS006,PA200143
SO2002007,I2L0010507,LINER   MU M4015,1,09/05/2020,46000,CUSS006,PA200144
SO2002047,I2L0010557,LINER                MU M4016,2,09/05/2020,75500,CUSS006,PA200160
