InvoiceNo,ItemNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
IV2002103,I00001905,TEST 1,1140,13/02/2020, 135.00 ,CUS006
IV2003159,I0170002,TEST 2,1,17/03/2020," 81,340.00 ",CUS006
IV2003161,I0060004,TEST 3,1,17/03/2020," 2,058.00 ",CUS006
IV2003162,I0020005,TEST 4,1,17/03/2020, 157.00 ,CUS006
IV2004116,I0040001,TEST 5,1,20/04/2020," 17,255.00 ",CUS018
IV2004116,I0170001,TEST 6,1,20/04/2020," 76,500.00 ",CUS018
IV1810277,I0010056,TEST 7,6,01/05/2020," 7,125.00 ",CUS018
IV1912214,I0060036,TEST 8,2,01/05/2020," 7,400.00 ",CUS006
IV2001136,I0050159,TEST 9,1,01/05/2020," 326,600.00 ",CUS013
IV2002003,I00004279,TEST 10,1,01/05/2020," 23,000.00 ",CUS005
IV2002003,I00002224,TEST 11,3,01/05/2020," 5,200.00 ",CUS005
IV2002003,I00003223,TEST 12,1,01/05/2020," 20,400.00 ",CUS005
IV2002003,I00004276,TEST 13,1,01/05/2020," 8,500.00 ",CUS005
IV2002003,I00004278,TEST 14,1,01/05/2020," 9,550.00 ",CUS005
IV2002003,I00004277,TEST 15,1,01/05/2020," 7,800.00 ",CUS005
IV2002003,I00004280,TEST 16,1,01/05/2020," 52,300.00 ",CUS005
IV2002003,I0060005,TEST 17,2,01/05/2020," 22,500.00 ",CUS005
IV2002003,I0020244,TEST 18,90,01/05/2020, 30.00 ,CUS005
IV2002003,I0020017,TEST 19,90,01/05/2020, 15.00 ,CUS005
IV2002003,I0010028,TEST 20,90,01/05/2020, 15.00 ,CUS005
IV2002061,I0200028,TEST 21,1,01/05/2020," 25,500.00 ",CUS01
IV2002085,I0010025,TEST 22,72,01/05/2020," 2,200.00 ",CUS007
IV2002152,I0040008,TEST 23,1,01/05/2020," 19,800.00 ",CUS36
IV2004015,I00001831,TEST 24,75,01/05/2020, 225.00 ,CUS032
IV2004015,I00002867,TEST 25,100,01/05/2020, 225.00 ,CUS032
IV2004020,I0160001,TEST 26,100,01/05/2020, 18.00 ,CUS108
IV2004069,I0010001,TEST 27,140,01/05/2020, 375.00 ,CUS003
IV2004103,I0160001,TEST 28,500,01/05/2020, 18.00 ,CUS007
IV2004165,I0160001,TEST 29,750,01/05/2020, 18.00 ,CUS010
IV2002286,I0030294,TEST 30,2,05/05/2020, 160.00 ,CUS025
IV2002286,I0030014,TEST 31,2,05/05/2020, 800.00 ,CUS025
IV2004110,I0090001,TEST 32,1,05/05/2020," 3,500.00 ",CUS025
IV2004110,I0020005,TEST 33,1,05/05/2020, 160.00 ,CUS025
IV2004110,I0020001,TEST 34,1,05/05/2020, 300.00 ,CUS025
IV1910282,I010061,TEST 35,6,06/05/2020, 950.00 ,CUS006
IV2002214,I0030605,TEST 36,2,06/05/2020," 14,200.00 ",CUS025
